0	internet, online, version, system, 39, apple, scientist, say, b, state
1	39, game, year, first, sale, customer, new, time, ap, one
2	software, microsoft, 39, computer, service, company, inc, new, corp, announce
3	nasa, say, people, moon, two, spacecraft, city, attack, mission, ap
4	search, web, google, window, site, engine, browser, people, find, security
5	quot, say, 39, phone, mobile, company, e, mail, executive, federal
6	revenue, profile, rocket, pack, private, java, operating, professional, plant, community
7	space, user, com, product, maker, new, quarter, system, stock, digital
8	gt, lt, device, font, speed, reuters, href, p, 2, sans
9	technology, u, say, reuters, price, industry, million, market, new, research
